pdb,glycam name,glycan,phi site,psi site,phi,psi,B factor(Avg),BFMP ring shape
5a6z.pdb,DGalpb1-3[LFucpa1-4]DGlcpNAcb1-ROH,FUC(3_F_)-[GAL(2_F_)]-NAG(1_F_),F FUC 3 C2 C1 NAG 1 O4 C4,F FUC 3 C1 NAG 1 O4 C4 C5,171.771,259.326,"(['FUC(3_F_)', 'NAG(1_F_)'], [8.7, 20.94])","(['3.F', '1.F'], ['1C4', '4C1'])"
5a6z.pdb,DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpa1-ROH,FUC(4_H_)-[GAL(3_H_)]-NAG(2_H_)-GLA(1_H_),H FUC 4 C2 C1 NAG 2 O4 C4,H FUC 4 C1 NAG 2 O4 C4 C5,168.0,260.7358,"(['FUC(4_H_)', 'NAG(2_H_)'], [8.25, 15.45])","(['4.H', '2.H'], ['1C4', '4C1'])"
4rm0.pdb,DGalpb1-3[LFucpa1-4]DGlcpNAcb1-ROH,FUC(3_C_)-[GAL(2_C_)]-NAG(1_C_),C FUC 3 C2 C1 NAG 1 O4 C4,C FUC 3 C1 NAG 1 O4 C4 C5,168.428,264.6116,"(['FUC(3_C_)', 'NAG(1_C_)'], [31.32, 31.32])","(['3.C', '1.C'], ['1C4', '4C1'])"
4ops.pdb,LFucpa1-2DGalpb1-3[LFucpa1-4]DGlcpNAcb1-ROH,FUC(4_C_)-[FUC(3_C_)-GAL(2_C_)]-NAG(1_C_),C FUC 4 C2 C1 NAG 1 O4 C4,C FUC 4 C1 NAG 1 O4 C4 C5,167.383,257.579,"(['FUC(4_C_)', 'NAG(1_C_)'], [64.97, 64.53])","(['4.C', '1.C'], ['1C4', '4C1'])"
6idv.pdb,LFucpa1-4DGlcpNAcb1-4DGlcpNAcb1-ASN,FUC(3_E_)-NAG(2_E_)-NAG(1_E_)-ASN(102_B_),E FUC 3 C2 C1 NAG 2 O4 C4,E FUC 3 C1 NAG 2 O4 C4 C5,340.08820000000003,238.027,"(['FUC(3_E_)', 'NAG(2_E_)'], [97.32, 77.03])","(['3.E', '2.E'], ['5S1', '4C1'])"
6idv.pdb,LFucpa1-4DGlcpNAcb1-4DGlcpNAcb1-ASN,FUC(3_C_)-NAG(2_C_)-NAG(1_C_)-ASN(237_A_),C FUC 3 C2 C1 NAG 2 O4 C4,C FUC 3 C1 NAG 2 O4 C4 C5,145.626,217.344,"(['FUC(3_C_)', 'NAG(2_C_)'], [98.66, 87.85])","(['3.C', '2.C'], ['O3B', '4C1'])"
5urz.pdb,LFucpa1-4[LFucpa1-6]DGlcpNAcb1-ASN,FUC(3_C_)-[FUC(2_C_)]-NAG(1_C_)-ASN(22_A_),C FUC 2 C2 C1 NAG 1 O4 C4,C FUC 2 C1 NAG 1 O4 C4 C5,146.368,247.805,"(['FUC(2_C_)', 'NAG(1_C_)'], [89.38, 67.05])","(['2.C', '1.C'], ['-', '4C1'])"
3ass.pdb,LFucpa1-2DGalpb1-3[LFucpa1-4]DGlcpNAcb1-C6N1O3,FUC(4_D_)-[FUC(3_D_)-GAL(2_D_)]-NAG(1_D_)-NPO(1001_B_),D FUC 4 C2 C1 NAG 1 O4 C4,D FUC 4 C1 NAG 1 O4 C4 C5,167.539,258.286,"(['FUC(4_D_)', 'NAG(1_D_)'], [23.11, 25.43])","(['4.D', '1.D'], ['1C4', '4C1'])"
3ass.pdb,LFucpa1-2DGalpb1-3[LFucpa1-4]DGlcpNAcb1-C6N1O3,FUC(4_C_)-[FUC(3_C_)-GAL(2_C_)]-NAG(1_C_)-NPO(1001_A_),C FUC 4 C2 C1 NAG 1 O4 C4,C FUC 4 C1 NAG 1 O4 C4 C5,168.83,259.74,"(['FUC(4_C_)', 'NAG(1_C_)'], [22.88, 23.43])","(['4.C', '1.C'], ['1C4', '4C1'])"
5f8r.pdb,LFucpa1-2DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpb1-4DGlcpb1-ROH,FUC(6_F_)-[FUC(5_F_)-GAL(4_F_)]-NAG(3_F_)-GAL(2_F_)-BGC(1_F_),F FUC 6 C2 C1 NAG 3 O4 C4,F FUC 6 C1 NAG 3 O4 C4 C5,158.87,256.68,"(['FUC(6_F_)', 'NAG(3_F_)'], [36.11, 38.39])","(['6.F', '3.F'], ['1C4', '4C1'])"
5f8r.pdb,LFucpa1-2DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpb1-4DGlcpb1-ROH,FUC(6_E_)-[FUC(5_E_)-GAL(4_E_)]-NAG(3_E_)-GAL(2_E_)-BGC(1_E_),E FUC 6 C2 C1 NAG 3 O4 C4,E FUC 6 C1 NAG 3 O4 C4 C5,151.791,269.02729999999997,"(['FUC(6_E_)', 'NAG(3_E_)'], [35.93, 35.68])","(['6.E', '3.E'], ['1C4', '4C1'])"
